,sku,description,sku_x,description,sku,description,sku_x,description
162,3968011.0,CLINIQUE,3968011.0,CLINIQUE,3690654.0,CLINIQUE,3690654.0,
163,7568362.0,MAI     ,7568362.0,,7848362.0,MAI     ,7848362.0,
164,6738362.0,MAI     ,6738362.0,,6208362.0,MAI     ,6208362.0,
165,6500353.0,NOB     ,6500353.0,,6510353.0,NOB     ,6510353.0,
166,378327.0,MAI     ,378327.0,,558327.0,MAI     ,558327.0,
167,7029904.0,CABERN  ,7029904.0,,5309905.0,CABERN  ,5309905.0,
168,6340353.0,NOB     ,6340353.0,,6300353.0,NOB     ,6300353.0,
169,5487088.0,NOB     ,5487088.0,,2001637.0,NOB     ,2001637.0,
170,3524026.0,CLINIQUE,3524026.0,CLINIQUE,3898011.0,CLINIQUE,3898011.0,
171,4318362.0,MAI     ,4318362.0,,4648362.0,MAI     ,4648362.0,
172,6349904.0,CABERN  ,6349904.0,,5369905.0,CABERN  ,5369905.0,
173,7678092.0,LOUISVL ,7678092.0,,7638092.0,LOUISVL ,7638092.0,
174,4648362.0,MAI     ,4648362.0,,4898362.0,MAI     ,4898362.0,
175,8156822.0,FREDERI ,8156822.0,,8146822.0,FREDERI ,8146822.0,
176,2001637.0,NOB     ,2001637.0,,5487088.0,NOB     ,5487088.0,
177,4898362.0,MAI     ,4898362.0,,5168362.0,MAI     ,5168362.0,
178,2313723.0,INVEST  ,2313723.0,,7583724.0,INVEST  ,7583724.0,
179,558327.0,MAI     ,558327.0,,378327.0,MAI     ,378327.0,
180,4898362.0,MAI     ,4898362.0,,4648362.0,MAI     ,4648362.0,
181,2726578.0,CLINIQUE,2726578.0,CLINIQUE,3908011.0,CLINIQUE,3908011.0,
182,5168362.0,MAI     ,5168362.0,,4648362.0,MAI     ,4648362.0,
183,3547981.0,CELEBRT ,3547981.0,,3537981.0,CELEBRT ,3537981.0,
184,1821637.0,NOB     ,1821637.0,,2001637.0,NOB     ,2001637.0,
185,6340353.0,NOB     ,6340353.0,,6320353.0,NOB     ,6320353.0,
186,7218011.0,CLINIQUE,7218011.0,,5453386.0,CLINIQUE,5453386.0,
187,5539161.0,FREDERI ,5539161.0,,6904058.0,FREDERI ,6904058.0,
188,5826627.0,FREDERI ,5826627.0,,5846627.0,FREDERI ,5846627.0,
189,4648362.0,MAI     ,4648362.0,,4318362.0,MAI     ,4318362.0,
190,7814122.0,FREDERI ,7814122.0,,1783667.0,FREDERI ,1783667.0,
191,5309905.0,CABERN  ,5309905.0,,7029904.0,CABERN  ,7029904.0,
192,792991.0,FREDERI ,792991.0,,772991.0,FREDERI ,772991.0,
193,5278362.0,MAI     ,5278362.0,,3348362.0,MAI     ,3348362.0,
194,8146822.0,FREDERI ,8146822.0,,8156822.0,FREDERI ,8156822.0,
195,8146822.0,FREDERI ,8146822.0,,8166822.0,FREDERI ,8166822.0,
196,6290353.0,NOB     ,6290353.0,,6270353.0,NOB     ,6270353.0,
197,8142644.0,NOB     ,8142644.0,,8132644.0,NOB     ,8132644.0,
198,8166822.0,FREDERI ,8166822.0,,8146822.0,FREDERI ,8146822.0,
199,7638092.0,LOUISVL ,7638092.0,,7678092.0,LOUISVL ,7678092.0,
200,7248011.0,CLINIQUE,7248011.0,,5453386.0,CLINIQUE,5453386.0,
201,3663946.0,CLINIQUE,3663946.0,,3524026.0,CLINIQUE,3524026.0,
202,2001637.0,NOB     ,2001637.0,,1821637.0,NOB     ,1821637.0,
203,6208362.0,MAI     ,6208362.0,,6998362.0,MAI     ,6998362.0,
